date,direction,entry,exit,exit_px,pnl,or_range
2022-01-12,long,16000.25,stop,15970.25,-625.0,97.0
2022-01-13,short,15906.25,target,15846.25,1175.0,65.75
2022-01-20,long,15263.5,stop,15233.5,-625.0,98.0
2022-02-08,short,14494.5,stop,14524.5,-625.0,86.5
2022-02-16,short,14394.5,stop,14424.5,-625.0,86.5
2022-02-23,short,13919.25,target,13859.25,1175.0,89.5
2022-03-02,long,14126.25,stop,14096.25,-625.0,103.5
2022-03-04,short,13867.5,stop,13897.5,-625.0,106.0
2022-03-09,short,13501.25,stop,13531.25,-625.0,96.25
2022-03-10,long,13592.5,stop,13562.5,-625.0,92.75
2022-03-16,long,13737.25,stop,13707.25,-625.0,107.25
2022-03-17,long,13915.0,stop,13885.0,-625.0,82.25
2022-03-23,long,14564.0,stop,14534.0,-625.0,76.25
2022-03-29,short,15125.0,stop,15155.0,-625.0,82.5
2022-04-06,short,14522.25,target,14462.25,1175.0,109.25
2022-04-12,long,14208.75,target,14268.75,1175.0,90.0
2022-04-19,long,13941.25,stop,13911.25,-625.0,94.5
2022-05-05,short,13233.75,target,13173.75,1175.0,99.0
2022-05-17,short,12448.75,stop,12478.75,-625.0,79.25
2022-05-18,short,12293.5,stop,12323.5,-625.0,92.25
2022-05-20,short,11923.25,stop,11953.25,-625.0,107.75
2022-05-24,short,11732.5,target,11672.5,1175.0,104.25
2022-10-04,long,11581.5,target,11641.5,1175.0,60.25
2022-10-05,short,11457.0,target,11397.0,1175.0,73.75
2022-10-07,short,11259.25,target,11199.25,1175.0,84.0
2022-10-11,short,10848.5,target,10788.5,1175.0,85.75
2022-10-13,long,10560.75,target,10620.75,1175.0,69.5
2022-10-14,short,11063.75,stop,11093.75,-625.0,107.5
2022-10-18,short,11323.0,target,11263.0,1175.0,85.0
2022-10-19,long,11226.5,stop,11196.5,-625.0,103.25
2022-10-20,long,11200.5,target,11260.5,1175.0,73.75
2022-10-21,long,11128.0,stop,11098.0,-625.0,93.5
2022-10-26,long,11527.5,stop,11497.5,-625.0,75.75
2022-10-27,short,11361.5,target,11301.5,1175.0,96.5
2022-11-03,short,10773.0,target,10713.0,1175.0,64.5
2022-11-08,long,11091.75,target,11151.75,1175.0,68.75
2022-11-15,short,11998.0,stop,12028.0,-625.0,60.25
2022-11-17,long,11626.0,stop,11596.0,-625.0,70.25
2022-11-18,short,11741.25,stop,11771.25,-625.0,95.0
2023-01-03,short,11061.0,target,11001.0,1175.0,109.5
2023-01-04,short,10947.25,stop,10977.25,-625.0,84.75
2023-01-19,short,11374.25,stop,11404.25,-625.0,60.0
2023-01-24,long,11912.5,stop,11882.5,-625.0,62.0
2023-01-25,short,11651.5,stop,11681.5,-625.0,65.75
2023-01-26,short,11997.0,stop,12027.0,-625.0,72.75
2023-01-27,long,12118.5,target,12178.5,1175.0,62.5
2023-02-02,short,12658.5,stop,12688.5,-625.0,66.5
2023-02-09,short,12628.25,stop,12658.25,-625.0,90.5
2023-02-10,short,12290.0,stop,12320.0,-625.0,82.5
2023-02-17,short,12327.25,stop,12357.25,-625.0,77.5
2023-02-24,short,11958.75,stop,11988.75,-625.0,62.0
2023-03-14,long,12161.75,target,12221.75,1175.0,81.5
2023-03-16,long,12278.0,stop,12248.0,-625.0,64.25
2023-04-06,long,13029.75,target,13089.75,1175.0,56.0
2023-04-12,short,13057.0,stop,13087.0,-625.0,97.0
2023-04-13,long,13087.25,target,13147.25,1175.0,61.0
2023-04-14,long,13222.0,stop,13192.0,-625.0,82.25
2023-10-06,long,14823.75,target,14883.75,1175.0,98.75
2023-10-11,short,15312.5,stop,15342.5,-625.0,64.25
2023-10-18,long,15217.25,stop,15187.25,-625.0,73.25
2023-10-24,long,14847.75,stop,14817.75,-625.0,75.0
2023-10-26,short,14362.0,target,14302.0,1175.0,90.25
2023-11-14,long,15864.0,stop,15834.0,-625.0,65.0
2023-11-22,short,16062.75,stop,16092.75,-625.0,104.25
2023-11-29,short,16128.5,target,16068.5,1175.0,62.0
2024-01-02,short,16747.25,stop,16777.25,-625.0,105.75
2024-01-03,short,16573.5,stop,16603.5,-625.0,60.75
2024-01-04,long,16507.0,target,16567.0,1175.0,57.0
2024-01-12,short,16964.75,stop,16994.75,-625.0,65.0
2024-01-31,short,17348.0,target,17288.0,1175.0,71.25
2024-02-06,short,17674.0,target,17614.0,1175.0,65.5
2024-02-07,long,17805.75,target,17865.75,1175.0,55.25
2024-02-14,long,17825.75,stop,17795.75,-625.0,76.0
2024-02-21,long,17522.75,stop,17492.75,-625.0,56.25
2024-02-22,long,17937.25,stop,17907.25,-625.0,55.5
2024-03-06,short,18062.0,target,18002.0,1175.0,57.25
2024-03-07,short,18127.75,stop,18157.75,-625.0,63.75
2024-03-13,short,18107.5,target,18047.5,1175.0,63.0
2024-03-14,short,18068.0,target,18008.0,1175.0,61.75
2024-03-27,short,18467.75,target,18407.75,1175.0,85.75
2024-04-02,short,18216.75,stop,18246.75,-625.0,68.75
2024-04-05,long,18194.75,target,18254.75,1175.0,79.75
2024-04-09,short,18334.5,stop,18364.5,-625.0,62.25
2024-04-23,long,17497.25,stop,17467.25,-625.0,64.0
2024-04-26,long,17782.75,target,17842.75,1175.0,97.0
2024-05-02,short,17503.75,target,17443.75,1175.0,86.5
2024-05-03,long,18000.5,stop,17970.5,-625.0,57.25
2024-05-23,short,18899.75,target,18839.75,1175.0,71.0
2024-05-29,long,18833.25,stop,18803.25,-625.0,56.75
2024-10-22,long,20469.75,stop,20439.75,-625.0,88.75
2024-10-23,short,20383.75,stop,20413.75,-625.0,55.0
2024-10-25,long,20605.25,target,20665.25,1175.0,98.5
2024-11-05,long,20249.5,target,20309.5,1175.0,95.75
2024-11-07,long,21098.0,target,21158.0,1175.0,88.75
2024-11-15,short,20674.75,target,20614.75,1175.0,86.75
2024-11-19,long,20602.5,target,20662.5,1175.0,78.0
2025-01-16,short,21397.25,target,21337.25,1175.0,93.25
2025-01-22,long,21993.25,target,22053.25,1175.0,79.25
2025-01-30,long,21692.25,stop,21662.25,-625.0,72.0
2025-01-31,long,21845.5,target,21905.5,1175.0,73.5
2025-02-05,short,21513.5,stop,21543.5,-625.0,69.0
2025-02-21,short,22092.5,target,22032.5,1175.0,90.25
2025-02-26,long,21281.75,target,21341.75,1175.0,85.0
2025-03-06,long,20330.0,stop,20300.0,-625.0,91.5
2025-03-19,long,19626.0,target,19686.0,1175.0,106.75
2025-03-26,short,20399.75,target,20339.75,1175.0,62.0
2025-03-28,short,19823.75,target,19763.75,1175.0,101.5
2025-04-16,short,18558.0,stop,18588.0,-625.0,106.25
2025-04-29,long,19494.25,target,19554.25,1175.0,74.0
2025-05-01,short,19877.0,stop,19907.0,-625.0,102.5
2025-05-02,long,20130.25,target,20190.25,1175.0,94.0
2025-05-06,short,19770.0,stop,19800.0,-625.0,84.25
2025-05-08,short,20079.5,stop,20109.5,-625.0,76.25
2025-05-14,short,21304.5,stop,21334.5,-625.0,91.0
2025-05-15,short,21268.5,stop,21298.5,-625.0,61.5
2025-05-21,long,21382.25,target,21442.25,1175.0,95.5
2025-05-28,short,21482.5,target,21422.5,1175.0,77.0
2025-10-16,short,25031.5,stop,25061.5,-625.0,68.5
2025-10-31,short,26090.0,stop,26120.0,-625.0,98.25
2025-11-05,long,25600.25,target,25660.25,1175.0,88.5
2025-11-06,short,25569.5,target,25509.5,1175.0,99.75
2025-11-20,long,25261.0,stop,25231.0,-625.0,103.0
2025-11-26,short,25167.5,stop,25197.5,-625.0,81.5
2026-01-02,long,25757.75,stop,25727.75,-625.0,95.25
2026-01-06,long,25693.75,target,25753.75,1175.0,69.75
2026-01-16,short,25811.25,target,25751.25,1175.0,71.25
2026-01-21,long,25234.75,target,25294.75,1175.0,95.75
2026-01-23,long,25663.75,target,25723.75,1175.0,90.0
2026-01-27,long,26027.25,target,26087.25,1175.0,95.25
2026-02-12,short,25288.5,target,25228.5,1175.0,88.5
2026-03-12,short,24707.75,stop,24737.75,-625.0,92.25
2026-03-25,short,24418.25,target,24358.25,1175.0,100.0
2026-03-26,long,24186.5,stop,24156.5,-625.0,93.75
2026-03-31,long,23478.75,target,23538.75,1175.0,89.5
2026-04-10,short,25283.75,stop,25313.75,-625.0,78.75
2026-04-14,long,25767.0,target,25827.0,1175.0,98.75
2026-04-16,short,26333.0,stop,26363.0,-625.0,108.0
2026-04-17,long,26733.0,stop,26703.0,-625.0,90.75
2026-04-21,long,26838.5,stop,26808.5,-625.0,99.75
2026-04-22,long,26903.25,target,26963.25,1175.0,79.25
2026-04-23,long,27074.0,stop,27044.0,-625.0,103.0
2026-04-24,short,27154.25,stop,27184.25,-625.0,83.75
2026-05-07,short,28713.5,stop,28743.5,-625.0,61.75
2026-05-13,short,29146.25,target,29086.25,1175.0,108.0
2026-05-21,long,29294.5,stop,29264.5,-625.0,94.5
2026-05-29,long,30480.0,stop,30450.0,-625.0,97.25
