date,day_of_week,month,or_size,gap_points,gap_direction,volume_ratio,signal_strength,regime,prev_day_result,entry_time,direction,pnl,win_loss,consecutive_losses_before,consecutive_wins_before,market_atr,drawdown_at_entry,exit_reason,points_captured
2022-01-12,Wednesday,1,97.0,110.5,1,0.876,76,breakout,none,10:10,long,-625.0,0,0,0,358.57,0.0,stop,-31.0
2022-01-19,Wednesday,1,88.25,95.62,1,0.951,76,breakout,loss,09:46,long,-625.0,0,1,0,316.92,1.25,stop,-31.0
2022-01-20,Thursday,1,98.0,162.75,1,0.849,76,breakout,loss,09:53,long,-625.0,0,2,0,319.27,2.5,stop,-31.0
2022-01-25,Tuesday,1,120.5,-251.0,-1,1.115,58,breakout,loss,09:45,short,1185.0,1,3,0,383.34,3.75,target,59.5
2022-01-27,Thursday,1,122.0,138.0,1,0.884,58,breakout,win,09:48,long,-625.0,0,0,1,402.21,1.38,stop,-31.0
2022-02-08,Tuesday,2,86.5,-36.0,-1,0.888,66,breakout,loss,10:00,short,-625.0,0,1,0,318.9,0.0,stop,-31.0
2022-02-09,Wednesday,2,63.0,192.25,1,0.863,82,breakout,loss,11:00,long,-625.0,0,2,0,317.17,1.25,stop,-31.0
2022-02-15,Tuesday,2,75.5,232.5,1,0.839,80,breakout,loss,10:42,long,-625.0,0,3,0,337.9,2.5,stop,-31.0
2022-02-16,Wednesday,2,86.5,-116.0,-1,0.829,76,breakout,loss,09:50,short,-625.0,0,4,0,324.2,3.75,stop,-31.0
2022-02-22,Tuesday,2,124.75,188.88,1,1.075,58,breakout,loss,09:45,long,1185.0,1,5,0,312.07,5.0,target,59.5
2022-03-02,Wednesday,3,103.5,55.75,1,1.11,76,breakout,win,09:48,long,-625.0,0,0,1,0.0,0.0,stop,-31.0
2022-03-04,Friday,3,106.0,-87.5,-1,0.956,76,breakout,loss,09:45,short,-625.0,0,1,0,370.83,1.25,stop,-31.0
2022-03-09,Wednesday,3,96.25,342.12,1,1.211,76,breakout,loss,10:02,long,-625.0,0,2,0,415.04,2.5,stop,-31.0
2022-03-10,Thursday,3,92.75,-208.12,-1,0.959,82,breakout,loss,10:33,short,-625.0,0,3,0,398.57,3.75,stop,-31.0
2022-03-15,Tuesday,3,117.25,79.88,1,0.352,51,breakout,loss,10:04,long,-625.0,0,4,0,384.85,5.0,stop,-31.0
2022-03-16,Wednesday,3,107.25,211.12,1,0.214,61,breakout,loss,09:46,long,-625.0,0,5,0,386.02,6.25,stop,-31.0
2022-03-22,Tuesday,3,115.25,63.38,1,1.265,76,breakout,loss,10:00,long,1185.0,1,6,0,381.07,7.5,target,59.5
2022-03-23,Wednesday,3,76.25,-154.12,-1,1.299,94,breakout,win,09:50,short,-625.0,0,0,1,377.05,5.13,stop,-31.0
2022-03-24,Thursday,3,79.0,66.5,1,1.114,82,breakout,loss,11:01,long,1185.0,1,1,0,370.07,6.38,target,59.5
2022-03-31,Thursday,3,103.0,-50.25,-1,1.06,66,breakout,win,10:00,short,-625.0,0,0,1,315.91,4.01,stop,-31.0
2022-04-05,Tuesday,4,56.5,-57.0,-1,0.972,54,breakout,loss,09:51,short,-625.0,0,1,0,246.75,0.0,stop,-31.0
2022-04-06,Wednesday,4,109.25,-251.62,-1,1.343,86,breakout,loss,09:47,short,1185.0,1,2,0,283.17,1.25,target,59.5
2022-04-08,Friday,4,113.25,-123.38,-1,1.146,76,breakout,win,09:51,short,-625.0,0,0,1,284.85,0.0,stop,-31.0
2022-04-12,Tuesday,4,90.0,159.0,1,1.158,66,breakout,loss,09:47,long,1185.0,1,1,0,260.61,1.24,target,59.5
2022-04-13,Wednesday,4,108.75,47.38,1,0.968,76,breakout,win,09:46,long,-625.0,0,0,1,277.56,0.0,stop,-31.0
2022-04-14,Thursday,4,113.0,-21.75,-1,0.896,76,breakout,loss,09:51,short,1185.0,1,1,0,285.11,1.22,target,59.5
2022-05-03,Tuesday,5,90.25,-40.62,-1,0.874,66,breakout,win,09:45,short,-625.0,0,0,1,0.0,0.0,stop,-31.0
2022-05-05,Thursday,5,99.0,-225.25,-1,0.911,76,breakout,loss,09:45,short,1185.0,1,1,0,420.75,1.25,target,59.5
2022-05-18,Wednesday,5,92.25,-199.62,-1,0.865,76,breakout,win,09:56,short,-625.0,0,0,1,410.31,0.0,stop,-31.0
2022-05-24,Tuesday,5,104.25,-247.62,-1,0.831,66,breakout,loss,09:46,short,1185.0,1,1,0,425.68,1.24,target,59.5
2022-05-27,Friday,5,111.75,183.62,1,0.983,66,breakout,win,09:55,long,1185.0,1,0,1,377.12,0.0,target,59.5
2022-06-03,Friday,6,97.0,-219.0,-1,1.122,76,breakout,win,09:45,short,-625.0,0,0,2,412.75,0.0,stop,-31.0
2022-06-10,Friday,6,118.0,-246.5,-1,0.983,76,breakout,loss,09:55,short,1185.0,1,1,0,323.68,1.25,target,59.5
2022-06-15,Wednesday,6,87.25,157.62,1,0.329,51,breakout,win,10:07,long,-625.0,0,0,1,307.2,0.0,stop,-31.0
2022-06-16,Thursday,6,88.75,-327.12,-1,0.226,61,breakout,loss,10:00,short,1185.0,1,1,0,317.48,1.24,target,59.5
2022-06-21,Tuesday,6,126.75,118.38,1,1.574,68,breakout,win,09:58,long,1185.0,1,0,1,297.63,0.0,target,59.5
2022-06-23,Thursday,6,122.5,59.5,1,1.32,84,breakout,win,10:40,long,-625.0,0,0,2,285.86,0.0,stop,-31.0
2022-06-24,Friday,6,120.75,181.38,1,1.338,78,breakout,loss,09:49,long,-625.0,0,1,0,269.21,1.19,stop,-31.0
2022-07-07,Thursday,7,104.75,83.12,1,1.111,76,breakout,loss,09:49,long,-625.0,0,2,0,229.75,0.0,stop,-31.0
2022-07-15,Friday,7,69.5,144.0,1,0.953,60,breakout,loss,11:15,long,-625.0,0,3,0,258.0,1.25,stop,-31.0
2022-07-19,Tuesday,7,79.75,128.88,1,0.949,80,breakout,loss,10:28,long,1185.0,1,4,0,255.77,2.5,target,59.5
2022-07-22,Friday,7,83.0,-41.75,-1,1.157,84,breakout,win,10:01,short,-625.0,0,0,1,262.79,0.13,stop,-31.0
2022-07-26,Tuesday,7,74.75,-115.38,-1,0.974,74,breakout,loss,09:45,short,-625.0,0,1,0,267.29,1.38,stop,-31.0
2022-07-27,Wednesday,7,98.5,222.75,1,1.063,76,breakout,loss,09:47,long,1185.0,1,2,0,267.16,2.63,target,59.5
2022-07-29,Friday,7,120.25,66.38,1,1.193,58,breakout,win,10:00,long,-625.0,0,0,1,284.73,0.26,stop,-31.0
2022-08-02,Tuesday,8,88.75,-67.88,-1,1.048,66,breakout,loss,10:10,short,-625.0,0,1,0,0.0,0.0,stop,-31.0
2022-08-03,Wednesday,8,100.25,117.12,1,0.933,76,breakout,loss,09:54,long,1185.0,1,2,0,267.0,1.25,target,59.5
2022-08-04,Thursday,8,83.25,23.12,1,1.045,84,breakout,win,09:46,long,-625.0,0,0,1,284.92,0.0,stop,-31.0
2022-08-09,Tuesday,8,75.25,-113.12,-1,0.97,74,breakout,loss,09:53,short,-625.0,0,1,0,256.75,1.24,stop,-31.0
2022-08-10,Wednesday,8,86.5,273.75,1,1.054,74,breakout,loss,11:03,long,-625.0,0,2,0,241.36,2.47,stop,-31.0
2022-08-12,Friday,8,72.75,66.88,1,0.784,69,breakout,loss,10:10,long,-625.0,0,3,0,238.86,3.71,stop,-31.0
2022-08-17,Wednesday,8,81.25,-121.62,-1,0.916,80,breakout,loss,10:15,short,-625.0,0,4,0,230.29,4.94,stop,-31.0
2022-08-18,Thursday,8,63.0,-23.75,-1,0.828,84,breakout,loss,10:00,short,-625.0,0,5,0,228.71,6.18,stop,-31.0
2022-08-31,Wednesday,8,101.0,80.25,1,1.153,76,breakout,loss,09:50,long,-625.0,0,6,0,234.73,7.42,stop,-31.0
2022-09-02,Friday,9,123.25,71.62,1,0.991,74,breakout,loss,10:31,long,-625.0,0,7,0,0.0,0.0,stop,-31.0
2022-09-07,Wednesday,9,89.0,69.5,1,1.252,84,breakout,loss,11:12,long,-625.0,0,8,0,251.31,1.25,stop,-31.0
2022-09-09,Friday,9,65.0,111.75,1,0.961,84,breakout,loss,09:52,long,-625.0,0,9,0,257.62,2.5,stop,-31.0
2022-09-13,Tuesday,9,105.5,-376.25,-1,0.693,51,breakout,loss,09:58,short,1185.0,1,10,0,232.81,3.75,target,59.5
2022-09-15,Thursday,9,67.5,-76.75,-1,0.258,75,breakout,win,10:32,short,-625.0,0,0,1,244.57,1.38,stop,-31.0
2022-09-22,Thursday,9,98.25,-59.38,-1,1.402,76,breakout,loss,10:01,short,-625.0,0,1,0,257.21,2.63,stop,-31.0
2022-09-23,Friday,9,88.75,-130.38,-1,1.392,86,breakout,loss,09:50,short,-625.0,0,2,0,249.61,3.88,stop,-31.0
2022-10-04,Tuesday,10,60.25,241.12,1,1.257,64,breakout,loss,09:48,long,1185.0,1,3,0,0.0,0.0,target,59.5
2022-10-05,Wednesday,10,73.75,-137.88,-1,0.964,84,breakout,win,10:00,short,1185.0,1,0,1,239.62,0.0,target,59.5
2022-10-07,Friday,10,84.0,-234.0,-1,1.073,74,breakout,win,09:49,short,1185.0,1,0,2,254.69,0.0,target,59.5
2022-10-11,Tuesday,10,85.75,-85.38,-1,1.004,74,breakout,win,09:48,short,1185.0,1,0,3,262.46,0.0,target,59.5
2022-10-25,Tuesday,10,57.0,61.75,1,0.843,54,breakout,win,09:45,long,1185.0,1,0,4,311.02,0.0,target,59.5
2022-10-27,Thursday,10,96.5,-40.0,-1,0.86,76,breakout,win,09:48,short,1185.0,1,0,5,307.45,0.0,target,59.5
2022-11-02,Wednesday,11,69.75,-23.62,-1,0.978,74,breakout,win,10:14,short,1185.0,1,0,6,0.0,0.0,target,59.5
2022-11-03,Thursday,11,64.5,-104.0,-1,1.443,94,breakout,win,09:45,short,-625.0,0,0,7,422.88,0.0,stop,-31.0
2022-11-08,Tuesday,11,68.75,31.12,1,0.911,80,breakout,loss,10:18,long,1185.0,1,1,0,305.8,1.22,target,59.5
2022-11-10,Thursday,11,125.5,499.0,1,1.622,68,breakout,win,09:55,long,-625.0,0,0,1,294.04,0.0,stop,-31.0
2022-11-23,Wednesday,11,57.0,26.75,1,0.631,49,breakout,loss,09:46,long,1185.0,1,1,0,240.45,1.21,target,59.5
2022-12-06,Tuesday,12,83.25,-43.62,-1,1.079,74,breakout,win,09:45,short,1185.0,1,0,1,212.92,0.0,target,59.5
2022-12-15,Thursday,12,95.0,-185.0,-1,0.3,61,breakout,win,09:49,short,1185.0,1,0,2,244.62,0.0,target,59.5
2022-12-20,Tuesday,12,68.25,-78.12,-1,1.454,84,breakout,win,09:46,short,-625.0,0,0,3,248.15,0.0,stop,-31.0
2022-12-21,Wednesday,12,57.5,23.5,1,1.265,74,breakout,loss,09:47,long,1185.0,1,1,0,242.92,1.19,target,59.5
2022-12-22,Thursday,12,104.0,-179.0,-1,1.227,86,breakout,win,09:45,short,-625.0,0,0,1,240.48,0.0,stop,-31.0
2022-12-27,Tuesday,12,117.0,-74.0,-1,1.036,76,breakout,loss,09:45,short,-625.0,0,1,0,248.54,1.18,stop,-31.0
2022-12-29,Thursday,12,112.0,140.5,1,1.181,66,breakout,loss,10:00,long,-625.0,0,2,0,239.05,2.36,stop,-31.0
2022-12-30,Friday,12,62.5,-117.5,-1,1.01,84,breakout,loss,09:48,short,-625.0,0,3,0,243.29,3.54,stop,-31.0
2023-01-11,Wednesday,1,67.0,42.5,1,0.813,90,breakout,loss,10:22,long,-625.0,0,4,0,242.96,0.0,stop,-31.0
2023-01-17,Tuesday,1,71.0,21.0,1,0.898,74,breakout,loss,10:00,long,-625.0,0,5,0,217.12,1.25,stop,-31.0
2023-01-19,Thursday,1,60.0,-62.25,-1,0.998,54,breakout,loss,09:45,short,-625.0,0,6,0,216.31,2.5,stop,-31.0
2023-01-25,Wednesday,1,65.75,-223.62,-1,0.966,84,breakout,loss,09:54,short,-625.0,0,7,0,209.07,3.75,stop,-31.0
2023-01-31,Tuesday,1,69.0,20.75,1,0.881,74,breakout,loss,09:50,long,-625.0,0,8,0,212.09,5.0,stop,-31.0
2023-02-02,Thursday,2,66.5,299.75,1,1.682,90,breakout,loss,10:30,long,1185.0,1,9,0,0.0,0.0,target,59.5
2023-02-08,Wednesday,2,68.25,-40.12,-1,0.717,59,breakout,win,09:53,short,-625.0,0,0,1,315.95,0.0,stop,-31.0
2023-02-10,Friday,2,82.5,-76.25,-1,0.95,84,breakout,loss,10:03,short,-625.0,0,1,0,311.57,1.22,stop,-31.0
2023-02-15,Wednesday,2,64.75,-39.88,-1,0.926,84,breakout,loss,10:07,short,-625.0,0,2,0,285.77,2.44,stop,-31.0
2023-02-17,Friday,2,77.5,-89.75,-1,0.956,84,breakout,loss,09:45,short,-625.0,0,3,0,274.08,3.66,stop,-31.0
2023-02-21,Tuesday,2,68.25,-112.12,-1,0.794,59,breakout,loss,10:10,short,1185.0,1,4,0,248.34,4.88,target,59.5
2023-02-24,Friday,2,62.0,-196.5,-1,1.084,84,breakout,win,09:46,short,-625.0,0,0,1,214.04,2.57,stop,-31.0
2023-03-09,Thursday,3,61.25,35.62,1,1.113,64,breakout,loss,09:46,long,-625.0,0,1,0,192.21,0.0,stop,-31.0
2023-03-14,Tuesday,3,81.5,183.75,1,0.482,65,breakout,loss,10:22,long,1185.0,1,2,0,243.86,1.25,target,59.5
2023-03-15,Wednesday,3,79.0,-91.5,-1,0.225,75,breakout,win,10:34,short,-625.0,0,0,1,237.85,0.0,stop,-31.0
2023-03-24,Friday,3,101.75,-38.38,-1,1.232,74,breakout,loss,11:11,short,-625.0,0,1,0,263.12,1.24,stop,-31.0
2023-03-28,Tuesday,3,94.5,-71.0,-1,1.272,82,breakout,loss,10:32,short,-625.0,0,2,0,262.68,2.47,stop,-31.0
2023-03-31,Friday,3,61.75,23.38,1,1.098,54,breakout,loss,09:49,long,1185.0,1,3,0,236.98,3.71,target,59.5
2023-04-11,Tuesday,4,60.75,-31.12,-1,1.14,54,breakout,win,10:12,short,-625.0,0,0,1,178.85,0.0,stop,-31.0
2023-04-13,Thursday,4,61.0,92.5,1,1.221,74,breakout,loss,10:06,long,1185.0,1,1,0,177.71,1.25,target,59.5
2023-04-14,Friday,4,82.25,-27.88,-1,1.09,90,breakout,win,10:36,short,-625.0,0,0,1,181.53,0.0,stop,-31.0
2023-04-26,Wednesday,4,57.75,109.12,1,1.266,64,breakout,loss,10:06,long,-625.0,0,1,0,178.66,1.24,stop,-31.0
2023-05-10,Wednesday,5,95.75,102.88,1,1.557,76,breakout,loss,10:06,long,-625.0,0,2,0,153.43,0.0,stop,-31.0
2023-05-18,Thursday,5,59.5,44.0,1,1.108,54,breakout,loss,10:06,long,1185.0,1,3,0,152.77,1.25,target,59.5
2023-05-25,Thursday,5,102.0,265.75,1,1.674,74,breakout,win,11:13,long,-625.0,0,0,1,149.82,0.0,stop,-31.0
2023-05-26,Friday,5,75.0,71.75,1,1.085,84,breakout,loss,09:49,long,1185.0,1,1,0,145.91,1.24,target,59.5
2023-05-31,Wednesday,5,70.25,-41.12,-1,1.074,90,breakout,win,10:17,short,1185.0,1,0,1,164.18,0.0,target,59.5
2023-06-08,Thursday,6,69.0,29.25,1,1.093,84,breakout,win,10:05,long,1185.0,1,0,2,215.15,0.0,target,59.5
2023-06-09,Friday,6,71.25,95.88,1,0.833,84,breakout,win,09:45,long,-625.0,0,0,3,211.88,0.0,stop,-31.0
2023-06-23,Friday,6,73.75,-162.12,-1,1.184,84,breakout,loss,09:45,short,-625.0,0,1,0,201.2,1.22,stop,-31.0
2023-06-29,Thursday,6,66.75,-46.12,-1,1.258,94,breakout,loss,10:07,short,-625.0,0,2,0,209.36,2.44,stop,-31.0
2023-06-30,Friday,6,61.25,164.38,1,0.926,64,breakout,loss,09:45,long,1185.0,1,3,0,203.7,3.66,target,59.5
2023-07-06,Thursday,7,64.0,-176.75,-1,1.878,77,breakout,win,09:54,short,-625.0,0,0,1,83.17,0.0,stop,-31.0
2023-07-14,Friday,7,82.25,52.12,1,1.202,94,breakout,loss,10:02,long,-625.0,0,1,0,139.0,1.25,stop,-31.0
2023-07-18,Tuesday,7,63.75,-43.88,-1,1.311,84,breakout,loss,09:51,short,-625.0,0,2,0,147.2,2.5,stop,-31.0
2023-07-19,Wednesday,7,59.5,41.0,1,1.276,72,breakout,loss,10:52,long,-625.0,0,3,0,159.67,3.75,stop,-31.0
2023-07-26,Wednesday,7,73.25,-46.62,-1,1.249,82,breakout,loss,10:55,short,-625.0,0,4,0,189.04,5.0,stop,-31.0
2023-07-27,Thursday,7,71.5,243.0,1,1.289,94,breakout,loss,09:45,long,-625.0,0,5,0,191.11,6.25,stop,-31.0
2023-08-02,Wednesday,8,82.25,-186.62,-1,1.784,84,breakout,loss,10:06,short,1185.0,1,6,0,0.0,0.0,target,59.5
2023-08-08,Tuesday,8,62.5,-133.5,-1,0.862,74,breakout,win,09:48,short,1185.0,1,0,1,195.75,0.0,target,59.5
2023-08-09,Wednesday,8,87.25,-30.88,-1,0.941,76,breakout,win,09:50,short,1185.0,1,0,2,190.04,0.0,target,59.5
2023-08-10,Thursday,8,82.75,121.38,1,0.954,84,breakout,win,09:46,long,1185.0,1,0,3,194.61,0.0,target,59.5
2023-08-15,Tuesday,8,58.25,-39.88,-1,0.904,54,breakout,win,09:45,short,1185.0,1,0,4,204.53,0.0,target,59.5
2023-08-25,Friday,8,55.75,62.88,1,0.941,64,breakout,win,09:53,long,-625.0,0,0,5,227.43,0.0,stop,-31.0
2023-08-31,Thursday,8,65.0,25.75,1,0.995,84,breakout,loss,09:57,long,-625.0,0,1,0,235.2,1.12,stop,-31.0
2023-09-08,Friday,9,88.0,47.0,1,1.071,76,breakout,loss,09:50,long,-625.0,0,2,0,153.45,0.0,stop,-31.0
2023-09-12,Tuesday,9,60.75,-59.88,-1,0.328,45,breakout,loss,10:30,short,-625.0,0,3,0,151.54,1.25,stop,-31.0
2023-09-13,Wednesday,9,68.25,28.38,1,0.237,75,breakout,loss,10:42,long,-625.0,0,4,0,154.16,2.5,stop,-31.0
2023-10-04,Wednesday,10,85.5,62.25,1,0.904,80,breakout,loss,10:41,long,-625.0,0,5,0,260.75,0.0,stop,-31.0
2023-10-18,Wednesday,10,73.25,-80.88,-1,1.229,90,breakout,loss,10:36,short,-625.0,0,6,0,249.69,1.25,stop,-31.0
2023-10-20,Friday,10,74.75,-23.62,-1,1.216,94,breakout,loss,10:11,short,1185.0,1,7,0,251.91,2.5,target,59.5
2023-10-24,Tuesday,10,75.0,81.5,1,1.062,80,breakout,win,10:29,long,-625.0,0,0,1,255.64,0.13,stop,-31.0
2023-10-25,Wednesday,10,122.75,-195.38,-1,1.412,78,breakout,loss,09:45,short,-625.0,0,1,0,255.39,1.38,stop,-31.0
2023-10-31,Tuesday,10,102.0,-40.75,-1,0.898,66,breakout,loss,09:52,short,-625.0,0,2,0,244.68,2.63,stop,-31.0
2023-11-07,Tuesday,11,63.25,27.12,1,1.036,74,breakout,loss,09:56,long,1185.0,1,3,0,173.31,0.0,target,59.5
2023-11-10,Friday,11,75.25,84.62,1,0.976,74,breakout,win,09:55,long,-625.0,0,0,1,175.61,0.0,stop,-31.0
2023-11-14,Tuesday,11,65.0,274.0,1,1.476,84,breakout,loss,09:58,long,-625.0,0,1,0,183.72,1.22,stop,-31.0
2023-11-30,Thursday,11,91.5,-25.25,-1,1.436,86,breakout,loss,10:00,short,-625.0,0,2,0,138.46,2.44,stop,-31.0
2023-12-07,Thursday,12,75.0,125.75,1,1.154,90,breakout,loss,10:21,long,-625.0,0,3,0,191.0,0.0,stop,-31.0
2024-01-03,Wednesday,1,60.75,-112.88,-1,1.25,74,breakout,loss,10:12,short,-625.0,0,4,0,0.0,0.0,stop,-31.0
2024-01-05,Friday,1,56.75,20.38,1,0.9,64,breakout,loss,10:01,long,1185.0,1,5,0,176.75,1.25,target,59.5
